name,popularity,price,rating,distance,latitude,longitude,stationId,totalBikes,poiCat
Rally's,,,,604.0,41.862355,-87.7157109,b9bf2272aa09f748fe2931608e579c85,8.0,restaurant
Checkers,9.72,1.0,61.0,609.0,41.862355,-87.7157109,b9bf2272aa09f748fe2931608e579c85,8.0,restaurant
Star Gyros,9.59,1.0,,629.0,41.862355,-87.7157109,b9bf2272aa09f748fe2931608e579c85,8.0,restaurant
Caramel Cafe,9.0,1.0,,25.0,41.865608,-87.772389,07710c46c71ff35add1e0bf2b607672f,1.0,restaurant
Albano's Pizzeria,9.37,1.0,84.0,29.0,41.865608,-87.772389,07710c46c71ff35add1e0bf2b607672f,1.0,restaurant
Taqueria Los Altos De Jalisco,9.14,1.0,,135.0,41.865608,-87.772389,07710c46c71ff35add1e0bf2b607672f,1.0,restaurant
The Depot,,,,139.0,41.865608,-87.772389,07710c46c71ff35add1e0bf2b607672f,1.0,restaurant
Taqueria Los Martinez,,,,147.0,41.865608,-87.772389,07710c46c71ff35add1e0bf2b607672f,1.0,restaurant
Big Top,,,,159.0,41.865608,-87.772389,07710c46c71ff35add1e0bf2b607672f,1.0,restaurant
Brasas,8.36,1.0,,193.0,41.865608,-87.772389,07710c46c71ff35add1e0bf2b607672f,1.0,restaurant
Senor Sandwich,,,,230.0,41.865608,-87.772389,07710c46c71ff35add1e0bf2b607672f,1.0,restaurant
Galloway's Last Resort,,,,310.0,41.865608,-87.772389,07710c46c71ff35add1e0bf2b607672f,1.0,restaurant
Lucky Dog,9.8,1.0,76.0,319.0,41.865608,-87.772389,07710c46c71ff35add1e0bf2b607672f,1.0,restaurant
Elliots Augusta Pizza & Grill,9.94,1.0,79.0,443.0,41.8954359,-87.7335726,9593e64dcb3fb6379f63506fef3c1ceb,9.0,restaurant
Burger King,9.9,1.0,52.0,666.0,41.8954359,-87.7335726,9593e64dcb3fb6379f63506fef3c1ceb,9.0,restaurant
The Goddess Restaurant Group,,,,669.0,41.8954359,-87.7335726,9593e64dcb3fb6379f63506fef3c1ceb,9.0,restaurant
Rubys Soulfood OTA,,,,671.0,41.8954359,-87.7335726,9593e64dcb3fb6379f63506fef3c1ceb,9.0,restaurant
Philly Bros,,,,678.0,41.8954359,-87.7335726,9593e64dcb3fb6379f63506fef3c1ceb,9.0,restaurant
El Jefe Loco,,,,701.0,41.8954359,-87.7335726,9593e64dcb3fb6379f63506fef3c1ceb,9.0,restaurant
