name,popularity,price,rating,distance,latitude,longitude,ll,poiCat
Jamaican Jerk,,,,863,41.705588,-87.602938,-45.89735,restaurant
Captain Hooks Fish & Chicken,,,,982,41.705588,-87.602938,-45.89735,restaurant
Coppolino's Italian Beef Grill,9.62,2,,329,41.79482,-87.732112,-45.937292,restaurant
KFC,9.77,1,65,342,41.79482,-87.732112,-45.937292,restaurant
West 55th Street,9.88,2,72,375,41.79482,-87.732112,-45.937292,restaurant
Mariscos El Kora Restaurant,9.63,2,,586,41.79482,-87.732112,-45.937292,restaurant
Chipotle Mexican Grill,9.91,1,75,598,41.79482,-87.732112,-45.937292,restaurant
Xocome Antojeria,9.77,1,,634,41.79482,-87.732112,-45.937292,restaurant
La Casa Del Mole,,,,640,41.79482,-87.732112,-45.937292,restaurant
Red Barrel Restaurant,9.7,2,,643,41.79482,-87.732112,-45.937292,restaurant
Just-A-Pizza,9.3,1,,663,41.79482,-87.732112,-45.937292,restaurant
Taco Bell,9.82,1,61,698,41.79482,-87.732112,-45.937292,restaurant
Cleanstreet,,,,173,41.8680617,-87.7153897,-45.847328,restaurant
Green Garden Cafe,,,,212,41.8680617,-87.7153897,-45.847328,restaurant
Homan Squar Cafe 2,,,,223,41.8680617,-87.7153897,-45.847328,restaurant
Uncle Remus Chicken & BBQ,2.52,,,347,41.8680617,-87.7153897,-45.847328,restaurant
Falcon Holdings,,,,353,41.8680617,-87.7153897,-45.847328,restaurant
Dave's Red Hots,9.4,1,67,359,41.8680617,-87.7153897,-45.847328,restaurant
Popeyes Louisiana Kitchen,9.89,1,56,363,41.8680617,-87.7153897,-45.847328,restaurant
Star Gyros,9.59,1,,415,41.8680617,-87.7153897,-45.847328,restaurant
Taco Bell,9.75,1,67,438,41.8680617,-87.7153897,-45.847328,restaurant
Rally's,,,,466,41.8680617,-87.7153897,-45.847328,restaurant
J & J Fish,9.97,1,,466,41.775267,-87.669156,-45.893889,restaurant
McDonald's,9.93,1,46,485,41.775267,-87.669156,-45.893889,restaurant
Seafood Junction,,,,506,41.775267,-87.669156,-45.893889,restaurant
African Jerk,,,,509,41.775267,-87.669156,-45.893889,restaurant
Louisiana Famous Fried Chicken,,,,559,41.775267,-87.669156,-45.893889,restaurant
Checkers,9.64,1,61,617,41.775267,-87.669156,-45.893889,restaurant
Rally's,,,,628,41.775267,-87.669156,-45.893889,restaurant
Nick's Gyros,9.94,1,69,632,41.775267,-87.669156,-45.893889,restaurant
Harold's Chicken Shack,9.16,1,,686,41.775267,-87.669156,-45.893889,restaurant
Harry's Grill,,,,688,41.775267,-87.669156,-45.893889,restaurant
Krispy's Chicken & Seafood,,,,176,41.73715,-87.57319,-45.83604,restaurant
Subway,9.79,1,67,200,41.73715,-87.57319,-45.83604,restaurant
"Krispy's Sea Food and Chicken · Great American Foods, Inc.",8.91,1,,210,41.73715,-87.57319,-45.83604,restaurant
Sizzlin Grille Cafe,8.89,1,78,739,41.73715,-87.57319,-45.83604,restaurant
Harold's Chicken Coop,9.82,1,,755,41.73715,-87.57319,-45.83604,restaurant
Thomas Restaurant,9.65,1,66,810,41.73715,-87.57319,-45.83604,restaurant
Plant Based Junkie,9.37,2,,874,41.73715,-87.57319,-45.83604,restaurant
Grill Eighty Seven,,,,885,41.73715,-87.57319,-45.83604,restaurant
Wendy's,9.94,1,61,969,41.73715,-87.57319,-45.83604,restaurant
Checkers,9.77,1,54,975,41.73715,-87.57319,-45.83604,restaurant
Montrose Saloon,9.72,1,73,107,41.9610471,-87.700901,-45.7398539,restaurant
Angelo's Pizza & Restaurant,9.49,1,77,288,41.9610471,-87.700901,-45.7398539,restaurant
Mi Rancho,,,,291,41.9610471,-87.700901,-45.7398539,restaurant
Pizza y Pan Pa' Ya,9.42,1,,488,41.9610471,-87.700901,-45.7398539,restaurant
La Brasa Roja,9.69,1,84,494,41.9610471,-87.700901,-45.7398539,restaurant
Taqueria El Aguila Real,9.2,1,,564,41.9610471,-87.700901,-45.7398539,restaurant
Kitchen Chicago,3.16,1,,568,41.9610471,-87.700901,-45.7398539,restaurant
First Slice,9.38,2,84,578,41.9610471,-87.700901,-45.7398539,restaurant
El Michoacanito,9.05,1,,597,41.9610471,-87.700901,-45.7398539,restaurant
Somethin Sweet Donuts,9.78,1,,669,41.9610471,-87.700901,-45.7398539,restaurant
